"INCIDENT NUMBER","CHARGE ID","CHARGE DATE","REPORT DATE","APPROVED DATE","ATTEMPTED OR COMMITTED","STREET ADDRESS","SUBADDRESS","CITY","STATE","ZIP CODE","DISTRICT","ZONE","SUBZONE","STATUTE TITLE","STATUTE DESCRIPTION","STATUTE CATEGORY","CRIME AGAINST","NIBRS CODE","NIBRS DESCRIPTION","CENSUS BLOCK GROUP","COUNCIL DISTRICT","CRIME PREVENTION DISTRICT","NEIGHBORHOOD","LONGITUDE","LATITUDE","GEOLOCATION"
"21-133321","368460C9-8F47-4122-B8F0-C3B4A5864E34","12/29/2021 04:33:00 PM","12/31/2021 06:15:22 PM","01/05/2022 08:10:46 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-133967","7567D5D2-44FC-4CBC-9B53-0A02675457CC","12/31/2021 12:11:49 PM","12/31/2021 01:54:02 PM","01/02/2022 10:47:01 AM","COMMITTED","324 BRICE ST",,"BATON ROUGE","LA","70802","1","1A","1A1","14:62.2","SIMPLE BURGLARY OF AN INHABITED DWELLING","RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17117","30.44533","POINT (-91.171168 30.445327)"
"21-133928","48FAA101-0EE9-4CBF-B893-C48F573BE0F8","12/28/2021 12:00:00 AM","12/31/2021 10:31:44 AM","01/01/2022 09:04:48 AM","COMMITTED","1829 NORTH ST",,"BATON ROUGE","LA","70802","1","1A","1A2","13:67","THEFT","THEFT","PROPERTY","23G","THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES",,"10",,"DOWNTOWN EAST","-91.17006","30.45322","POINT (-91.170059 30.45322)"
"21-133880","55246605-B21A-4412-8CCF-7F212B0427B2","12/31/2021 04:05:22 AM","12/31/2021 04:05:00 AM","01/01/2022 12:38:32 AM","COMMITTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:65","SIMPLE ROBBERY","INDIVIDUAL ROBBERY","PROPERTY","120","ROBBERY",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-133694","4EDE5DAC-4F5B-4BC0-BE63-B3852F2F81BF","12/30/2021 03:57:38 PM","12/30/2021 04:37:34 PM","05/15/2023 12:38:20 PM","COMMITTED",,,"BATON ROUGE","LA","70802","1","1A","1A1","13:35.3","DOMESTIC ABUSE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST",,,
"21-133601","CD6BDEF9-9E1D-43ED-9E55-59822974724B","12/30/2021 11:40:14 AM","12/30/2021 11:40:00 AM","01/21/2022 06:16:31 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-133601","CD925BDA-9A06-4FA7-9F44-8D0380F86A87","12/30/2021 11:40:14 AM","12/30/2021 11:40:00 AM","01/21/2022 06:16:31 AM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","40:1023","POSSESSION OF DRUG PARAPHERNALIA","NARCOTICS","SOCIETY","35B","DRUG EQUIPMENT VIOLATIONS",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-130884","39B5D5C5-9ECE-4F74-92C0-A765FE8FF291","12/22/2021 05:35:23 PM","12/29/2021 06:33:30 AM","12/29/2021 09:26:35 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-132796","CF1E9A30-AC79-4ABE-A66F-8AE3DF770E5F","12/28/2021 09:28:28 AM","12/28/2021 12:20:04 PM","05/19/2023 10:49:59 AM","COMMITTED","153 N 17TH ST",,"BATON ROUGE","LA","70802","1","1A","1A1","13:35","SIMPLE BATTERY","BATTERY","PERSON","13B","SIMPLE ASSAULT",,"10",,"DOWNTOWN EAST","-91.17202","30.44847","POINT (-91.172018 30.448468)"
"21-131298","B3DD4AD2-9E25-49C2-9424-4C5D671F014D","12/23/2021 06:18:29 PM","12/28/2021 11:23:47 AM","12/29/2021 09:31:01 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-131306","E41801FC-0473-4B65-8878-AC4903085C90","12/23/2021 06:58:50 PM","12/28/2021 11:10:25 AM","12/28/2021 06:44:15 PM","COMMITTED","1000 FLORIDA ST",,"BATON ROUGE","LA","70802","1","1A","1A2","14:97.1","SOLICITATION ON AN INTERSTATE HIGHWAY","NUISANCE","PERSON, PROPERTY,OR SOCIETY","90Z","ALL OTHER OFFENSES",,"10",,"DOWNTOWN EAST","-91.17989","30.44957","POINT (-91.179886 30.449573)"
"21-132723","D3F51F09-A73F-4ACB-9890-02518ED4E332","12/28/2021 12:23:13 AM","12/28/2021 01:05:17 AM","01/01/2022 12:25:22 AM","ATTEMPTED","1120 SPANISH TOWN RD",,"BATON ROUGE","LA","70802","1","1A","1A2","14:30.1","SECOND DEGREE MURDER","HOMICIDE","PERSON","09A","MURDER & NONNEGLIGENT MANSLAUGHTER",,"10",,"DOWNTOWN EAST","-91.17760","30.45464","POINT (-91.177604 30.454636)"
"21-132394","7E2864C4-DA05-4958-BDAE-9C763F1479BC","12/27/2021 12:35:00 AM","12/27/2021 03:37:00 AM","12/28/2021 07:59:28 AM","COMMITTED","1530 OLEANDER ST",,"BATON ROUGE","LA","70802","2","2A","2A1","14:62","SIMPLE BURGLARY","NON-RESIDENTIAL BURGLARY","PROPERTY","220","BURGLARY/BREAKING & ENTERING",,"10",,"DOWNTOWN EAST","-91.17263","30.44177","POINT (-91.172633 30.441772)"
"21-132376","59FF66E0-B428-4CBB-A594-4D6B8E954B0C","12/26/2021 11:37:30 PM","12/27/2021 01:57:40 AM","05/22/2023 10:07:27 AM","COMMITTED",,,"BATON ROUGE","LA","70802","1","1A","1A2","13:35.3","DOMESTIC ABUSE BATTERY","BATTERY","PERSON","13A","AGGRAVATED ASSAULT",,"10",,"DOWNTOWN EAST",,,
